validation_fold,total,positive,negative,auroc,macro_f1,accuracy,sensitivity,specificity,brier,ece,tp,tn,fp,fn,threshold
0,165,50,115,0.8627826086956522,0.7424435930183056,0.8,0.54,0.9130434782608695,0.13284903493018935,0.07047435926363037,27,105,10,23,0.5
1,165,50,115,0.8464347826086956,0.779989884592395,0.8242424242424242,0.62,0.9130434782608695,0.1336315558576319,0.06936988270703429,31,105,10,19,0.5
2,164,49,115,0.9070097604259095,0.7999548226790152,0.8353658536585366,0.6938775510204082,0.8956521739130435,0.11238099746882642,0.08707358747375409,34,103,12,15,0.5
3,164,49,115,0.8676131322094054,0.762283200879692,0.823170731707317,0.5306122448979592,0.9478260869565217,0.1327754362589068,0.0736684482029149,26,109,6,23,0.5
