validation_fold,total,positive,negative,auroc,macro_f1,accuracy,sensitivity,specificity,brier,ece,tp,tn,fp,fn,threshold
0,165,50,115,0.836086956521739,0.7413213885778276,0.7878787878787878,0.6,0.8695652173913043,0.13771878573998184,0.04973046325097995,30,100,15,20,0.5
1,165,50,115,0.821391304347826,0.7226890756302521,0.7878787878787878,0.5,0.9130434782608695,0.1427214017353868,0.05906592640943604,25,105,10,25,0.5
2,164,49,115,0.8848269742679681,0.7925589915819775,0.823170731707317,0.7346938775510204,0.8608695652173913,0.11588319012001425,0.08778458062455749,36,99,16,13,0.5
3,164,49,115,0.8608695652173914,0.7396825396825397,0.7926829268292683,0.5714285714285714,0.8869565217391304,0.13766185484292331,0.07124335680858906,28,102,13,21,0.5
