validation_fold,total,positive,negative,auroc,macro_f1,accuracy,sensitivity,specificity,brier,ece,tp,tn,fp,fn,threshold
0,165,50,115,0.9438260869565216,0.840341308937368,0.8666666666666667,0.76,0.9130434782608695,0.089133389007806,0.05004808669867497,38,105,10,12,0.5
1,165,50,115,0.9259130434782609,0.7708333333333333,0.8181818181818182,0.6,0.9130434782608695,0.10901644787368545,0.07250086842122654,30,105,10,20,0.5
2,164,49,115,0.8976042590949423,0.7842105263157895,0.8170731707317073,0.7142857142857143,0.8608695652173913,0.11809669273228128,0.04426698466866482,35,99,16,14,0.5
3,164,49,115,0.9150842945874003,0.8123999084877602,0.8475609756097561,0.6938775510204082,0.9130434782608695,0.10108058725626144,0.08217980340147112,34,105,10,15,0.5
